,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
0,0.4459,0.6348,-0.4608,0.4311,344.32,256.54,281.86,302.95
1,0.4424,0.6364,-0.4619,0.4312,343.88,256.17,281.74,305.12
2,0.439,0.6455,-0.4686,0.4135,345.95,254.06,282.73,302.24
3,0.4336,0.6569,-0.4796,0.3879,349.25,251.07,283.89,305.96
4,0.4253,0.6675,-0.4898,0.3657,351.79,248.17,284.68,306.96
5,0.4172,0.6749,-0.4956,0.3534,352.73,246.24,285.04,309.65
6,0.4117,0.6806,-0.4998,0.3427,353.7,244.74,285.42,305.69
7,0.4144,0.6814,-0.499,0.3392,354.42,244.72,285.8,305.74
8,0.4217,0.6773,-0.4954,0.3434,354.57,245.86,285.88,306.53
9,0.4227,0.6776,-0.4969,0.3394,355.42,245.64,286.02,303.69
10,0.4202,0.6812,-0.5002,0.3305,356.58,244.62,286.34,303.69
11,0.4212,0.682,-0.5008,0.3267,357.28,244.41,286.56,303.69
12,0.4228,0.6817,-0.4992,0.3277,357.17,244.67,286.68,306.96
13,0.422,0.6826,-0.4974,0.3296,356.55,244.73,286.74,306.96
14,0.4194,0.6849,-0.4984,0.3265,356.66,244.2,286.87,306.44
15,0.4145,0.6897,-0.5034,0.3148,358.05,242.72,287.16,311.67
16,0.4104,0.6947,-0.5081,0.3013,359.82,241.21,287.58,313.03
17,0.4148,0.6936,-0.5062,0.301,0.28,241.66,287.84,305.88
18,0.4216,0.6909,-0.502,0.3049,0.23,242.7,288.07,307.13
19,0.4281,0.6887,-0.4989,0.3056,0.71,243.47,288.38,306.87
20,0.431,0.6895,-0.4997,0.2984,2.2,243.23,288.82,305.28
21,0.4324,0.691,-0.5005,0.2915,3.43,242.86,289.22,309.98
22,0.4338,0.6917,-0.4991,0.2902,3.62,242.91,289.48,303.47
23,0.4338,0.6925,-0.498,0.2904,3.41,242.92,289.61,300.23
24,0.4311,0.6952,-0.4989,0.2862,3.7,242.31,289.79,307.57
25,0.4261,0.7,-0.5019,0.2766,4.63,241.04,290.08,303.18
26,0.4234,0.7024,-0.5044,0.27,5.48,240.25,290.22,305.69
27,0.4208,0.7048,-0.5061,0.2646,6.07,239.56,290.38,307.13
28,0.4192,0.7065,-0.5065,0.2619,6.26,239.19,290.5,308.02
29,0.42,0.7069,-0.5057,0.2612,6.37,239.22,290.65,309.26
30,0.4213,0.7081,-0.5061,0.2547,7.53,238.92,291.02,305.22
31,0.4197,0.7092,-0.5072,0.2523,7.78,238.56,291.04,310.96
32,0.4215,0.7073,-0.5035,0.2618,6.22,239.45,290.88,309.41
33,0.4241,0.7062,-0.5001,0.2672,5.37,240.13,290.95,308.45
34,0.4246,0.7066,-0.4996,0.2661,5.51,240.1,291.07,305.22
35,0.4219,0.7084,-0.5088,0.2477,8.98,238.47,291.14,305.58
36,0.4004,0.7185,-0.5234,0.2227,11.38,234.33,290.78,309.17
37,0.3987,0.718,-0.5219,0.2307,9.74,234.7,290.49,303.57
38,0.4231,0.7067,-0.5037,0.2606,6.65,239.54,290.95,304.55
39,0.4586,0.6825,-0.49,0.2896,6.21,245.65,290.65,307.52
40,0.455,0.6863,-0.5026,0.2632,11.02,243.29,290.97,307.6
41,0.4419,0.6964,-0.5281,0.2021,21.34,237.52,291.53,306.79
42,0.4169,0.7058,-0.545,0.176,23.78,232.89,290.58,303.33
43,0.4202,0.7043,-0.5334,0.2071,18.01,235.38,290.46,309.41
44,0.4573,0.6871,-0.4851,0.2889,5.36,245.46,291.28,305.26
45,0.4951,0.6579,-0.4446,0.3527,357.28,254.87,290.85,306.35
46,0.4804,0.6703,-0.4697,0.3152,3.3,250.13,291.12,301.11
47,0.4452,0.696,-0.5034,0.253,11.02,241.45,291.53,304.55
48,0.4376,0.7007,-0.5145,0.23,14.7,238.97,291.58,306.6
49,0.4286,0.706,-0.5176,0.2236,14.71,237.51,291.54,308.73
50,0.4338,0.7048,-0.5109,0.2325,13.27,238.74,291.85,306.44
51,0.4417,0.703,-0.5053,0.2352,13.29,239.84,292.41,308.0
52,0.4377,0.7051,-0.5096,0.227,14.49,238.81,292.37,308.31
53,0.4272,0.7101,-0.519,0.2095,16.78,236.42,292.18,306.79
54,0.4181,0.7141,-0.5276,0.192,19.23,234.21,292.01,304.7
55,0.4119,0.7169,-0.5333,0.1789,21.06,232.64,291.93,308.38
56,0.4105,0.718,-0.5351,0.1722,22.15,232.04,292.03,315.3
57,0.4098,0.7188,-0.5369,0.1645,23.48,231.46,292.16,309.7
58,0.4098,0.7191,-0.5383,0.1589,24.55,231.1,292.25,303.94
59,0.4109,0.7184,-0.5387,0.1579,24.93,231.15,292.25,306.96
60,0.4126,0.7173,-0.5386,0.1587,25.04,231.4,292.24,309.7
61,0.4133,0.7167,-0.539,0.1584,25.23,231.45,292.2,305.2
62,0.4125,0.7167,-0.5404,0.1556,25.74,231.17,292.14,307.44
63,0.4126,0.7163,-0.5415,0.1528,26.35,231.0,292.13,310.65
64,0.4134,0.7157,-0.5424,0.1505,26.94,230.93,292.12,308.47
65,0.4126,0.7157,-0.5439,0.1472,27.54,230.62,292.08,307.05
66,0.4096,0.7165,-0.5465,0.142,28.27,229.94,291.95,310.91
67,0.4082,0.7166,-0.5484,0.1381,28.94,229.52,291.85,308.38
68,0.4114,0.7151,-0.5478,0.1393,29.12,229.95,291.91,308.41
69,0.4155,0.7129,-0.547,0.1411,29.35,230.53,291.96,310.91
70,0.418,0.7114,-0.547,0.1411,29.73,230.81,291.98,305.69
71,0.417,0.7112,-0.5486,0.139,30.13,230.55,291.86,310.91
72,0.4148,0.7115,-0.5506,0.1365,30.44,230.12,291.68,307.44
73,0.4132,0.7115,-0.5525,0.1333,30.96,229.73,291.55,309.75
74,0.4121,0.7115,-0.5545,0.1283,31.86,229.27,291.48,308.13
75,0.4116,0.7113,-0.5563,0.1232,32.84,228.88,291.44,305.77
76,0.4117,0.7108,-0.5578,0.119,33.73,228.62,291.42,305.17
77,0.4133,0.7096,-0.5587,0.1165,34.5,228.62,291.41,305.84
78,0.4151,0.7082,-0.5593,0.1152,35.07,228.74,291.39,308.47
79,0.4166,0.7071,-0.5597,0.1151,35.35,228.9,291.36,310.29
80,0.4171,0.7062,-0.5603,0.1153,35.47,228.95,291.26,308.13
81,0.4165,0.7056,-0.5616,0.115,35.57,228.85,291.1,310.29
82,0.4168,0.7048,-0.5625,0.1143,35.85,228.82,291.0,308.98
83,0.4181,0.7037,-0.5632,0.1133,36.3,228.89,290.96,306.53
84,0.4191,0.7026,-0.5638,0.1136,36.46,229.01,290.88,308.41
85,0.4191,0.7015,-0.5646,0.1159,36.2,229.14,290.68,306.71
86,0.4188,0.7006,-0.5658,0.1169,36.14,229.15,290.47,306.25
87,0.4196,0.6994,-0.5667,0.1167,36.41,229.21,290.36,307.13
88,0.421,0.6981,-0.5674,0.116,36.82,229.3,290.3,310.33
89,0.4215,0.6972,-0.5683,0.1152,37.15,229.3,290.21,308.73
90,0.4213,0.6966,-0.5694,0.1144,37.37,229.2,290.08,309.17
91,0.42,0.6963,-0.571,0.113,37.59,228.95,289.91,310.24
92,0.4189,0.696,-0.5725,0.1114,37.88,228.7,289.75,306.79
93,0.4184,0.6954,-0.5738,0.1103,38.14,228.56,289.61,311.48
94,0.4191,0.6943,-0.5747,0.1097,38.47,228.57,289.51,310.38
95,0.4216,0.6928,-0.5748,0.1089,39.0,228.81,289.55,308.79
96,0.4247,0.6909,-0.5746,0.1098,39.32,229.22,289.58,305.58
97,0.4283,0.689,-0.5736,0.1135,39.14,229.86,289.61,304.14
98,0.4312,0.6871,-0.573,0.1167,39.01,230.39,289.59,306.03
99,0.4323,0.6857,-0.5737,0.1174,39.16,230.55,289.47,306.79
