,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,compass_1,compass_2,compass_3
0,1490.0,-0.05,0.02,-1.01,-0.3,-1.77,0.06,-7.65,80.42,-21.46
1,1573.0,-0.05,0.01,-0.98,-0.43,-1.52,-0.73,-9.3,79.22,-19.2
2,1582.0,-0.06,0.03,-1.06,-1.34,-4.02,-0.49,-8.55,79.52,-19.95
3,1591.0,-0.05,0.0,-0.96,0.0,3.11,-0.55,-8.7,80.42,-20.41
4,1600.0,-0.07,0.02,-1.03,-0.55,-3.72,-0.3,-8.4,81.62,-20.86
5,1610.0,-0.06,0.0,-1.02,-0.3,0.61,-0.3,-8.7,80.12,-21.16
6,1619.0,-0.05,0.01,-1.03,-0.06,-2.44,0.18,-8.7,78.92,-20.86
7,1628.0,-0.07,0.01,-0.96,-0.55,-1.46,-0.98,-7.65,79.37,-20.86
8,1637.0,-0.07,0.02,-1.0,-0.06,-0.79,0.67,-7.95,80.12,-21.16
9,1647.0,-0.06,0.02,-1.02,-0.55,-2.2,-1.34,-8.1,79.52,-21.61
10,1656.0,-0.06,0.03,-1.02,0.24,0.18,0.73,-9.15,78.92,-21.16
11,1665.0,-0.05,0.02,-1.04,-0.61,-1.89,-1.16,-9.15,78.92,-21.16
12,1675.0,-0.06,0.01,-1.01,0.12,-1.16,0.3,-8.85,79.52,-21.01
13,1684.0,-0.07,0.02,-1.02,-0.3,-1.28,-0.61,-8.7,78.92,-20.41
14,1693.0,-0.05,-0.0,-1.01,-0.18,-1.65,-0.49,-8.85,79.97,-20.56
15,1736.0,-0.06,0.04,-1.0,-0.3,-2.2,-0.12,-8.1,79.22,-20.56
16,1745.0,-0.06,0.0,-1.01,-0.43,-0.73,-0.91,-8.1,79.22,-20.56
17,1754.0,-0.06,0.01,-1.01,-0.06,-0.85,0.12,-10.05,79.52,-21.01
18,1763.0,-0.06,0.02,-1.01,-0.43,-0.98,-0.49,-9.45,79.67,-21.91
19,1773.0,-0.05,0.01,-1.02,-0.18,-1.1,-0.24,-9.3,81.02,-21.31
