,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
0,0.9772,-0.1856,0.0817,-0.0624,338.93,21.02,5.34,29.46
1,0.9498,-0.2783,0.0646,-0.1274,337.67,31.48,12.12,29.46
2,0.9041,-0.4048,0.0176,-0.1359,343.68,47.27,13.52,28.7
3,0.8109,-0.4346,0.1104,-0.3761,299.23,46.13,36.57,28.7
4,0.7009,-0.5014,0.266,-0.4319,252.58,53.07,34.9,28.7
5,0.7049,-0.3703,0.3544,-0.4903,240.76,20.19,57.99,32.25
6,0.7025,-0.4512,0.4626,-0.2981,226.44,65.29,0.2,32.36
7,0.6578,-0.6043,0.425,-0.147,265.1,97.77,331.74,31.5
8,0.4741,-0.6109,0.4508,-0.4459,207.06,130.77,326.84,34.48
9,0.5008,-0.4216,0.4837,-0.581,206.03,321.64,129.4,34.25
10,0.5808,-0.1846,0.3609,-0.706,274.34,336.27,110.54,34.27
11,0.5613,0.1458,0.2327,-0.7807,356.15,328.17,109.12,33.51
12,0.4309,0.5085,0.1591,-0.7283,74.25,302.83,98.04,30.93
13,0.3674,0.7446,0.0053,-0.5573,111.39,258.86,47.77,30.64
14,0.2199,0.8551,-0.1988,-0.4254,109.16,200.92,344.7,25.53
15,0.1835,0.8809,-0.2869,-0.3287,86.38,190.64,328.15,24.09
16,0.1093,0.909,-0.3111,-0.2548,64.18,182.71,322.99,22.42
17,0.0458,0.9264,-0.3174,-0.1973,46.49,177.47,321.65,23.05
18,0.0045,0.9328,-0.3328,-0.1379,30.17,175.04,320.07,20.76
19,-0.044,0.9361,-0.3362,-0.0934,16.72,171.56,319.87,22.34
20,-0.0917,0.9423,-0.318,-0.0506,4.25,168.17,322.48,20.46
21,-0.1018,0.943,-0.3158,-0.0258,358.2,167.97,323.07,20.98
22,-0.1152,0.9458,-0.2954,-0.0707,7.53,164.92,324.8,21.32
23,-0.1206,0.9545,-0.2431,-0.1239,20.48,162.83,329.87,21.98
24,-0.0922,0.9602,-0.1532,-0.2147,45.18,164.75,338.81,21.89
25,-0.0311,0.9395,-0.1165,-0.3205,73.02,170.47,342.71,22.32
26,-0.0457,0.9166,-0.095,-0.3858,88.61,167.33,342.98,21.21
27,0.0706,0.8596,-0.018,-0.5057,121.38,192.18,4.75,22.12
28,0.1868,0.6821,0.0747,-0.7031,137.23,279.22,89.97,21.47
29,0.0879,0.5317,0.2249,-0.8118,110.91,306.01,137.66,23.47
30,-0.1077,0.4317,-0.0979,-0.8902,96.74,23.73,204.58,24.39
31,-0.1735,0.4394,-0.0751,-0.8782,96.44,25.26,213.8,20.8
32,-0.2611,0.4184,0.0058,-0.8699,93.94,17.78,221.19,22.52
33,-0.3353,0.3345,0.0841,-0.8767,80.02,5.76,223.95,23.42
34,-0.336,0.274,0.0647,-0.8988,64.83,4.61,222.33,23.38
35,-0.3679,0.1742,0.0395,-0.9125,40.62,3.43,224.53,23.8
36,-0.4775,0.0778,0.0641,-0.8728,22.73,357.8,237.15,21.29
37,-0.5681,0.0493,0.1139,-0.8135,24.21,352.4,249.04,24.54
38,-0.628,0.0776,0.145,-0.7606,34.95,352.58,257.95,23.18
39,-0.6759,0.0483,0.1795,-0.7131,36.31,348.43,265.08,23.53
40,-0.7153,0.0056,0.19,-0.6725,32.45,345.06,271.4,26.01
41,-0.7245,0.0309,0.2028,-0.658,39.09,346.36,273.15,25.06
42,-0.6875,0.1035,0.2538,-0.6724,58.45,346.82,267.82,24.47
43,-0.6329,0.1358,0.2693,-0.713,64.63,345.46,258.95,24.8
44,-0.5792,0.1799,0.2957,-0.7381,74.9,343.3,250.55,24.25
45,-0.4929,0.2698,0.3618,-0.7439,98.58,335.32,235.59,22.85
46,-0.4048,0.3564,0.4308,-0.7236,119.64,318.23,213.69,22.23
47,-0.3673,0.3885,0.4452,-0.7183,124.55,310.41,202.98,21.8
48,-0.2943,0.4402,0.4966,-0.6878,127.74,285.72,175.8,23.29
49,-0.2511,0.5019,0.5108,-0.6512,131.08,266.44,153.35,23.29
50,-0.278,0.5344,0.5198,-0.6057,138.92,251.46,141.43,21.23
51,-0.1827,0.5564,0.5463,-0.5988,119.99,244.39,128.91,23.15
52,-0.1547,0.4969,0.5621,-0.6428,108.73,257.53,141.87,22.43
53,-0.456,0.4603,0.4763,-0.5944,157.98,309.95,212.9,22.29
54,-0.7213,0.3715,0.3544,-0.465,117.88,23.57,307.83,24.92
55,-0.9348,0.2089,0.1591,-0.2391,46.83,20.05,335.51,24.33
56,-0.9867,0.1236,0.1049,0.0156,23.44,14.62,3.32,23.84
57,-0.9535,0.299,0.0252,0.0271,3.66,34.88,3.83,23.8
58,-0.8337,0.5496,-0.0162,0.0511,350.45,66.63,3.88,26.17
59,-0.7995,0.5782,-0.1204,0.1098,322.74,71.39,2.2,24.34
60,-0.8121,0.5515,-0.1593,-0.1043,343.47,69.85,339.59,23.18
61,-0.7595,0.5143,-0.1538,-0.3675,16.6,64.65,313.62,18.0
62,-0.6964,0.474,-0.178,-0.5086,27.09,59.91,295.55,14.95
63,-0.6663,0.5266,-0.1866,-0.4938,31.5,67.02,297.38,14.04
64,-0.5292,0.7168,-0.0082,-0.454,79.91,92.07,320.04,14.43
65,-0.3074,0.8072,0.1989,-0.4631,120.88,140.77,4.22,16.31
66,-0.3584,0.7759,0.1925,-0.4821,124.78,126.9,354.2,14.63
67,-0.2681,0.7395,0.006,-0.6175,132.81,103.55,306.39,15.88
68,-0.261,0.6198,-0.077,-0.7361,121.44,63.28,258.73,15.0
69,-0.2853,0.431,-0.1584,-0.8413,78.8,41.54,232.93,13.88
70,-0.2495,0.4341,-0.2084,-0.8402,77.42,46.59,230.28,14.15
71,-0.161,0.4027,-0.1795,-0.883,81.59,36.16,214.51,14.46
72,-0.1404,0.5237,-0.2531,-0.8012,100.37,59.68,229.95,12.43
73,0.0016,0.5352,-0.1279,-0.835,126.8,28.24,197.45,12.38
74,0.0763,0.5104,0.008,-0.8565,121.64,349.18,163.46,10.01
75,0.0655,0.543,0.0363,-0.8364,129.26,342.07,159.65,10.36
76,-0.054,0.5572,-0.0522,-0.827,132.69,21.4,201.55,12.18
77,-0.2417,0.2368,-0.1493,-0.9291,43.17,24.92,213.99,11.49
78,-0.3746,0.2192,-0.1943,-0.8797,27.78,31.41,230.05,10.77
79,-0.458,0.1034,-0.1954,-0.861,359.9,25.54,236.01,13.39
80,-0.5005,0.0054,-0.2162,-0.8383,336.06,22.09,239.34,13.45
81,-0.4072,-0.1862,-0.2312,-0.8637,298.67,16.74,225.86,15.43
82,-0.4079,-0.2385,-0.1755,-0.8637,292.55,7.51,228.28,12.05
83,-0.3958,-0.2125,-0.1213,-0.8851,303.63,3.02,227.43,11.72
84,-0.3881,-0.2004,-0.1491,-0.8871,303.77,7.1,225.48,12.35
85,-0.381,-0.1955,-0.1767,-0.8862,302.48,10.8,223.75,13.52
86,-0.3672,-0.3016,-0.1661,-0.864,279.93,4.91,224.26,12.83
87,-0.3217,-0.3366,-0.2901,-0.836,262.9,23.93,211.18,13.17
88,-0.3191,-0.3544,-0.3931,-0.7861,252.17,41.71,202.26,11.54
89,-0.3349,-0.4513,-0.3723,-0.7387,227.31,38.13,203.31,10.95
90,-0.3325,-0.4648,-0.3788,-0.728,223.56,40.78,200.83,11.9
91,-0.357,-0.4482,-0.3964,-0.7174,224.37,41.2,204.55,12.53
92,-0.3852,-0.4518,-0.3579,-0.7207,224.06,26.57,218.16,13.23
93,-0.3298,-0.5619,-0.4037,-0.6423,197.73,73.92,168.76,13.71
