time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
0.9909,0.1101,0.056,0.0534,345.89,347.65,354.6,2.97
0.9893,0.0998,0.0698,0.0806,342.26,349.14,351.53,2.97
0.9906,0.069,0.0558,0.1042,345.64,352.76,348.45,0.89
0.9809,0.0591,0.1192,0.142,330.97,355.14,344.15,0.89
0.974,0.0421,0.1358,0.1766,327.55,357.96,339.73,0.89
0.9653,0.0528,0.1719,0.1893,318.79,357.75,338.21,2.25
0.963,0.0255,0.1846,0.1946,317.12,1.4,336.88,0.59
0.962,0.0499,0.1882,0.1916,315.19,358.52,337.76,1.05
0.958,0.0691,0.1966,0.1968,312.35,356.55,337.52,1.35
0.947,0.0921,0.2238,0.2111,304.85,354.82,336.15,359.71
0.9405,0.0927,0.2283,0.234,303.56,355.6,333.17,0.15
0.9344,0.1142,0.2228,0.2534,303.38,353.44,331.31,0.15
0.9304,0.1393,0.2095,0.2664,304.69,350.4,330.41,358.22
0.9247,0.1616,0.2008,0.28,304.98,347.86,329.29,358.7
0.9246,0.1718,0.166,0.2969,311.71,346.11,327.38,358.65
0.9429,0.1694,-0.0651,0.2794,3.23,339.15,326.69,358.96
0.916,0.2237,-0.2063,0.2612,30.27,327.57,323.74,358.99
0.8978,0.282,-0.1706,0.2922,16.26,322.26,321.15,358.29
0.8872,0.3179,-0.1047,0.3175,358.15,320.9,320.94,359.43
0.8592,0.3648,-0.0757,0.3506,345.56,316.73,318.47,359.57
0.8261,0.4106,-0.0594,0.3814,335.16,312.19,315.96,1.27
0.7644,0.4945,-0.1906,0.3671,351.79,296.07,311.26,0.29
0.7445,0.4999,-0.2391,0.3724,358.14,292.7,307.48,359.72
0.7015,0.5494,-0.2947,0.3452,3.93,282.87,306.04,359.01
0.6202,0.6297,-0.317,0.3441,355.41,270.34,304.24,357.72
0.5224,0.7113,-0.3557,0.3077,352.42,254.61,303.98,359.72
0.5398,0.6622,-0.459,0.2439,19.87,252.37,297.82,0.56
0.4587,0.7002,-0.502,0.2177,17.91,240.63,293.96,358.32
0.3538,0.7501,-0.5201,0.204,7.1,228.11,292.12,0.28
0.3108,0.7773,-0.4641,0.2894,341.42,229.63,294.02,0.0
0.2345,0.8065,-0.3883,0.3792,309.12,228.16,297.06,1.71
-0.0014,0.831,-0.2763,0.4827,253.14,206.35,309.78,1.13
-0.177,0.7927,-0.2111,0.5438,220.94,171.61,336.0,2.52
-0.0907,0.8027,-0.3056,0.5039,240.34,198.85,307.4,3.05
-0.1037,0.7936,-0.3287,0.5014,240.47,199.14,303.93,1.13
-0.1813,0.8061,-0.2731,0.4927,233.41,177.06,324.38,0.57
-0.2489,0.7834,-0.149,0.5497,221.42,140.24,6.52,2.39
-0.3446,0.6751,0.0398,0.6511,243.21,80.64,73.48,3.27
-0.4942,0.4536,0.2339,0.7038,311.94,58.36,96.28,4.85
-0.6376,0.1719,0.4308,0.6151,39.5,52.74,97.8,7.34
-0.6958,-0.121,0.5735,0.4151,127.93,44.51,90.3,9.41
-0.6523,-0.3542,0.64,0.1986,154.66,251.34,297.66,9.71
-0.6531,-0.3835,0.6285,0.1772,146.21,253.18,300.44,13.06
-0.6027,-0.448,0.6498,0.1178,125.42,237.57,286.19,11.6
-0.5888,-0.4607,0.6557,0.1059,120.84,234.85,283.8,15.59
-0.6658,-0.3529,0.6305,0.1861,152.29,259.34,304.5,14.42
-0.6273,-0.3618,0.6789,0.1213,139.93,237.6,278.19,13.01
-0.6617,-0.3166,0.6656,0.1374,150.86,249.85,287.62,12.07
-0.7171,-0.2193,0.6283,0.2071,165.46,334.61,9.77,13.65
-0.7107,-0.239,0.65,0.1238,158.87,282.87,312.73,11.45
-0.7499,-0.2247,0.6167,0.0826,148.34,300.46,325.8,10.96
-0.7817,-0.1643,0.5915,0.11,147.83,332.76,355.36,12.23
-0.8007,-0.0934,0.5741,0.1433,142.23,2.65,22.19,11.28
-0.7961,0.0457,0.5655,0.2104,123.58,41.09,54.89,10.73
-0.783,0.1219,0.5593,0.2435,109.47,53.36,63.71,9.22
-0.7934,0.1684,0.5162,0.275,93.18,53.33,62.64,9.83
-0.8057,0.1877,0.481,0.2903,83.52,51.25,60.37,8.82
-0.7715,0.262,0.4804,0.3247,69.64,60.74,66.47,8.6
-0.7114,0.4334,0.4123,0.3688,30.96,72.84,66.26,9.14
-0.6743,0.5772,0.3267,0.3247,7.55,83.08,54.76,7.58
-0.7481,0.5055,0.4101,0.1295,57.71,79.96,43.99,5.76
-0.7803,0.4724,0.4095,-0.0173,81.89,73.2,28.45,7.2
-0.7793,0.5715,0.2521,-0.0509,53.62,75.75,13.53,7.39
-0.7294,0.612,0.272,-0.1397,69.19,82.81,9.02,6.03
-0.6543,0.6528,0.2915,-0.2465,89.37,91.8,4.68,6.15
-0.6341,0.6326,0.2561,-0.3636,103.4,83.66,347.23,5.47
-0.5975,0.6211,0.3019,-0.4074,120.21,84.69,347.03,5.08
-0.4855,0.5979,0.4114,-0.4874,158.42,106.57,5.71,6.4
-0.3793,0.6041,0.4249,-0.5573,169.4,189.59,78.99,3.31
-0.3188,0.5374,0.3464,-0.6997,153.26,322.08,198.62,2.67
-0.3197,0.3762,0.2507,-0.8327,103.78,343.33,213.85,3.9
-0.3011,0.3134,0.2079,-0.8763,84.82,346.24,212.56,1.26
-0.248,0.2827,0.1131,-0.9197,70.34,355.23,208.67,3.4
-0.2524,0.2153,0.1155,-0.9363,54.95,353.04,208.47,3.31
-0.2006,0.2114,0.149,-0.9449,54.68,347.2,200.84,3.9
-0.1204,0.2731,0.0944,-0.9498,65.56,352.24,192.17,3.03
-0.1224,0.2825,0.0229,-0.9511,65.78,1.74,195.18,1.98
-0.1319,0.2365,0.0891,-0.9585,56.96,352.92,193.87,1.21
-0.1404,0.3217,0.0222,-0.9361,74.98,3.52,198.25,1.64
-0.1094,0.4154,0.014,-0.9029,97.74,5.72,196.42,2.56
-0.0785,0.4578,0.0224,-0.8853,108.99,3.17,191.77,1.64
-0.093,0.4949,0.0065,-0.8639,117.81,9.01,197.38,1.49
-0.0905,0.5193,0.0008,-0.8498,123.95,11.37,199.0,1.77
-0.0945,0.5787,0.0037,-0.8101,139.51,17.39,205.48,1.09
-0.0934,0.6405,-0.0002,-0.7623,155.06,33.74,221.33,0.98
-0.0311,0.694,0.0316,-0.7186,176.01,356.32,181.41,0.97
0.0359,0.7386,0.0693,-0.6697,159.59,235.43,58.14,1.12
0.0414,0.7575,0.0624,-0.6485,155.58,222.74,44.45,0.56
0.0398,0.7629,0.0683,-0.6416,153.62,220.53,42.86,0.0
0.045,0.7941,0.0522,-0.6038,145.23,206.76,27.35,0.85
0.0623,0.8015,0.0391,-0.5935,142.34,206.95,25.04,359.29
0.076,0.8383,0.0934,-0.5318,122.65,208.2,29.66,359.03
0.1452,0.8662,0.2211,-0.4239,84.17,216.26,42.99,0.14
0.2508,0.8796,0.3091,-0.2606,35.33,219.2,45.05,0.14
0.4191,0.809,0.409,-0.0509,329.8,228.19,46.85,358.29
0.3565,0.7417,0.5528,0.1311,287.88,208.36,63.99,356.12
0.2815,0.6282,0.6789,0.2554,270.64,180.55,94.21,356.34
0.2768,0.452,0.7457,0.4037,257.88,145.95,134.2,357.3
0.2837,0.3709,0.7776,0.4209,262.2,137.49,149.06,357.72
0.2452,0.376,0.8291,0.3334,277.82,150.73,142.39,357.76
0.2669,0.3571,0.8192,0.3609,271.94,146.14,146.93,359.4
0.3772,0.4336,0.7681,0.2822,248.96,169.16,126.82,359.22
0.4275,0.4843,0.7298,0.2239,245.54,189.28,107.79,356.4
0.4222,0.511,0.7145,0.2237,247.39,191.62,102.62,357.92
0.3497,0.5126,0.763,0.1813,267.98,186.76,109.34,357.24
0.3206,0.4115,0.8354,0.173,274.61,178.03,128.33,357.34
0.3659,0.2728,0.8766,0.1525,267.12,174.35,147.86,359.25
0.269,0.2025,0.9416,0.0079,298.7,186.28,154.0,0.0
0.2113,0.0581,0.9744,-0.0495,312.09,187.61,171.56,0.0
0.1087,-0.1712,0.9649,-0.1671,329.04,197.22,197.77,1.85
0.0619,-0.2067,0.9676,-0.1314,339.96,193.43,202.93,4.25
-0.1039,-0.2789,0.9541,-0.0326,20.75,187.01,213.22,3.61
0.0413,-0.4906,0.8541,0.1678,10.8,160.82,238.84,3.61
0.4225,-0.701,0.563,0.1151,323.37,130.5,290.96,3.75
0.5006,-0.8454,0.0953,0.1598,20.13,117.05,340.96,7.01
0.3527,-0.858,-0.3088,0.2097,70.57,144.34,27.91,8.93
0.3114,-0.8056,-0.504,0.0,36.59,148.1,58.79,10.69
0.1536,-0.7462,-0.6391,-0.1056,4.45,158.63,80.74,10.17
0.0807,-0.622,-0.7788,0.0054,15.22,174.68,102.41,10.22
0.0548,-0.4893,-0.8622,-0.1196,357.42,164.93,121.02,11.25
0.147,-0.4081,-0.7426,-0.5102,337.14,116.43,129.51,11.91
0.0583,-0.3912,-0.7221,-0.5675,317.82,111.97,137.43,10.75
0.113,-0.27,-0.8122,-0.5046,349.8,117.85,146.3,10.84
0.1364,-0.1504,-0.8876,-0.4135,13.53,128.7,157.51,10.23
0.1457,-0.1737,-0.9312,-0.2855,19.82,143.76,155.61,11.84
0.1897,-0.1994,-0.9475,0.1624,50.22,194.85,159.55,12.78
0.1088,-0.1607,-0.6821,0.705,44.05,271.1,175.93,16.85
-0.097,0.1923,-0.3164,0.9238,310.74,322.98,176.37,17.42
-0.2988,0.6251,0.1917,0.695,262.07,77.24,93.45,18.62
-0.3798,0.5865,0.7092,0.0936,50.8,140.19,91.49,18.16
-0.2001,0.2856,0.6966,-0.6269,79.11,260.03,169.01,18.43
0.041,-0.206,0.207,-0.9554,311.51,335.47,180.43,17.27
0.0241,-0.6719,-0.3983,-0.6238,249.99,112.6,99.6,18.86
0.3888,-0.7247,-0.56,-0.1002,33.75,135.08,68.37,12.65
0.6528,-0.537,-0.2652,0.4638,115.2,58.17,323.23,5.76
0.7867,-0.1691,-0.3331,0.4913,87.3,355.14,294.09,356.81
0.7443,0.2559,-0.4155,0.456,45.29,304.58,285.0,353.14
0.656,0.0166,-0.5482,0.5184,89.2,304.02,258.77,350.84
0.544,0.1879,-0.3503,0.7389,11.87,313.44,250.16,352.83
0.4165,0.4178,-0.2087,0.78,302.89,309.93,249.76,348.17
0.2674,0.4901,-0.1069,0.8227,262.94,318.59,235.35,347.32
0.0828,0.5175,0.0128,0.8516,235.87,352.16,195.83,344.49
-0.0827,0.546,0.1839,0.8132,241.92,49.2,139.33,343.27
-0.3449,0.5186,0.3722,0.6881,305.61,78.0,104.59,340.4
-0.5995,0.3775,0.6335,0.3109,63.3,95.91,89.73,337.08
-0.5954,0.4236,0.6693,0.1347,86.13,110.41,84.68,332.91
-0.6012,0.5541,0.5381,0.2048,49.67,102.29,68.19,331.29
-0.7008,0.6091,0.3713,0.0053,61.86,91.19,32.41,333.36
-0.7681,0.4308,0.4394,-0.1771,111.71,64.39,10.94,329.01
-0.7623,0.1531,0.5855,-0.2294,148.69,352.51,320.82,327.84
-0.6066,-0.1325,0.7455,-0.2423,114.33,254.31,245.02,327.31
-0.0229,-0.7635,0.6002,-0.2367,320.99,199.8,280.23,323.91
0.583,-0.7005,0.3499,-0.2165,269.31,108.79,340.22,322.14
0.6835,-0.5905,0.3577,-0.2371,259.48,85.81,351.16,316.6
0.7189,-0.5982,0.3518,0.0404,305.55,87.63,327.41,315.12
0.6668,-0.5627,0.1649,0.46,34.64,70.9,303.18,313.84
0.2976,-0.6011,-0.1151,0.7326,143.37,37.03,251.43,313.81
-0.1879,-0.3628,-0.365,0.8366,56.04,302.2,138.99,312.39
-0.6703,0.0635,-0.5338,0.5116,257.38,312.48,98.58,312.3
-0.8907,0.2676,-0.3245,0.1725,275.81,29.44,10.37,308.74
-0.907,0.361,-0.1587,-0.1475,339.09,45.52,337.13,305.28
-0.7865,0.3999,0.0057,-0.4706,45.33,42.52,307.13,309.77
-0.6117,0.3666,0.1272,-0.6894,82.76,21.35,271.31,302.74
-0.4505,0.2704,0.1449,-0.8384,71.46,0.04,236.51,304.93
-0.183,0.2277,0.1865,-0.938,59.4,342.13,197.3,304.03
0.2726,0.0905,0.3261,-0.9007,358.3,320.45,146.63,299.58
0.5901,0.0163,0.3574,-0.7237,313.06,324.2,109.29,304.43
0.7864,-0.0104,0.3793,-0.4874,285.3,333.61,72.64,308.16
0.9199,-0.0492,0.3338,-0.1999,281.34,356.82,25.66,306.71
0.9449,-0.0146,0.2023,0.257,315.98,8.16,327.97,311.99
0.7537,0.0008,-0.0624,0.6543,10.68,355.23,277.85,346.5
0.2509,-0.115,-0.4822,0.8314,51.34,304.36,199.87,4.76
-0.0745,-0.071,-0.6,0.7934,2.66,285.67,168.26,39.09
-0.1839,-0.0833,-0.6354,0.7453,347.44,280.36,157.52,36.29
-0.2775,-0.0823,-0.6305,0.7202,333.23,281.35,148.83,43.9
-0.4956,0.0176,-0.654,0.5713,276.11,281.16,133.09,47.37
-0.6552,0.1723,-0.5811,0.4509,227.06,311.64,101.86,49.61
-0.6931,0.4412,-0.4009,0.4053,228.07,44.73,30.73,51.43
-0.6034,0.5516,-0.326,0.4747,226.97,63.33,32.34,46.47
-0.5181,0.6419,-0.3291,0.4597,222.8,96.39,8.48,52.43
-0.5376,0.6001,-0.144,0.5746,244.77,63.57,56.18,49.97
-0.6381,0.2793,0.2915,0.6556,0.67,47.62,91.7,45.0
-0.6873,-0.1494,0.4723,0.5312,107.79,30.21,91.03,37.87
-0.8369,-0.2261,0.3588,0.346,98.41,348.52,39.65,49.03
-0.9423,0.2573,0.1981,0.081,38.75,33.23,15.66,52.91
-0.9223,0.3287,-0.1434,0.1439,317.9,37.27,10.57,48.67
-0.9593,0.274,-0.0548,-0.0399,350.44,32.14,353.86,47.58
-0.9596,-0.2321,-0.0822,-0.136,334.46,334.29,346.79,49.54
-0.94,-0.1682,-0.2913,-0.0572,290.95,339.91,359.34,56.82
-0.8764,-0.1221,-0.4649,-0.0293,249.43,340.85,6.26,55.22
-0.8354,-0.0853,-0.5399,-0.0577,228.47,348.72,359.4,54.32
-0.7246,0.2714,-0.5289,-0.3486,289.48,68.95,284.0,54.07
-0.5288,0.4921,-0.4988,-0.479,353.58,88.96,272.5,52.8
-0.4498,0.4993,-0.2368,-0.7016,58.35,63.52,263.64,52.93
-0.4518,0.5508,0.0007,-0.7018,101.37,51.63,271.36,56.44
-0.5501,0.4946,0.1693,-0.6512,112.29,35.52,279.77,59.3
-0.6164,0.5513,0.3645,-0.428,134.25,71.02,341.12,61.62
