,time,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,heading
0,0.9995,-0.0262,0.0106,0.0142,357.65,3.02,358.34,319.96
1,0.9957,-0.0858,0.0238,0.0251,355.05,9.91,356.9,319.96
2,0.9968,-0.0728,0.0158,0.0302,356.9,8.4,356.42,319.64
3,0.9963,-0.0702,0.0276,0.0407,354.35,8.18,355.12,319.64
4,0.9961,-0.0786,0.0212,0.0353,355.8,9.1,355.77,319.64
5,0.999,-0.0427,-0.01,0.0129,2.42,4.89,358.57,322.01
6,0.9998,-0.0177,-0.0118,0.004,2.72,2.02,359.56,321.78
7,0.9973,0.0588,-0.0446,-0.0057,10.3,353.27,0.36,319.67
8,0.9839,0.1637,-0.0688,-0.021,16.35,341.18,1.09,320.06
9,0.9018,0.2979,-0.0971,-0.2978,41.29,329.18,30.8,318.51
10,0.7593,0.3775,-0.0457,-0.5281,55.81,323.55,60.28,317.1
11,0.6682,0.4535,0.0802,-0.5843,50.02,309.45,70.38,316.55
12,0.5781,0.4906,0.1706,-0.6293,49.7,300.48,80.5,318.42
13,0.5727,0.5254,0.1637,-0.6076,53.63,296.21,76.52,322.06
14,0.5744,0.5505,0.1523,-0.5863,56.15,293.19,72.45,320.51
15,0.5315,0.598,0.1502,-0.5808,64.68,286.48,70.63,320.54
16,0.5898,0.6255,0.1252,-0.4952,56.3,282.2,57.16,321.24
17,0.635,0.6516,0.0117,-0.4148,63.43,280.2,39.59,319.09
18,0.6356,0.6433,0.0445,-0.4245,58.63,281.13,43.19,318.09
19,0.6363,0.6317,0.0529,-0.4396,58.42,283.0,45.86,318.38
20,0.6621,0.6209,0.0034,-0.4196,62.2,285.51,40.83,320.51
21,0.7748,0.5584,-0.2144,-0.2044,68.19,290.08,5.35,319.4
22,0.8153,0.4518,-0.3603,0.0365,67.35,293.52,332.44,318.19
23,0.7846,0.3168,-0.4795,0.2325,74.47,295.24,302.87,316.64
24,0.6498,0.0814,-0.6056,0.452,91.04,291.19,258.3,314.67
25,0.5088,-0.0658,-0.6375,0.5748,92.83,285.01,226.62,311.73
26,0.4205,-0.1311,-0.648,0.6213,90.13,280.25,209.95,310.14
27,0.3544,-0.2061,-0.6608,0.6287,93.36,273.48,194.63,311.04
28,0.4312,-0.0946,-0.655,0.6132,85.84,279.75,213.57,310.06
29,0.5756,0.0402,-0.6646,0.4747,93.26,279.5,240.88,311.36
30,0.6295,0.0372,-0.6929,0.3496,115.62,273.97,247.39,310.84
31,0.7042,0.1382,-0.653,0.2419,117.06,282.04,273.3,313.1
32,0.7297,0.1963,-0.6227,0.2029,112.03,285.29,284.73,313.46
33,0.7223,0.187,-0.6295,0.217,111.82,284.21,281.67,313.05
34,0.7252,0.1987,-0.6177,0.2304,107.09,285.42,282.71,312.99
35,0.7545,0.2087,-0.5882,0.2032,106.78,291.75,292.22,312.17
36,0.7849,0.2418,-0.5498,0.1526,104.22,296.98,304.62,315.18
37,0.7901,0.2943,-0.5205,0.1347,96.02,295.21,309.09,314.31
38,0.7924,0.3393,-0.4858,0.1447,84.39,293.7,311.01,314.3
39,0.763,0.3698,-0.5008,0.1741,78.9,286.93,304.54,314.34
40,0.7441,0.2229,-0.5783,0.2493,97.09,290.5,288.21,311.39
41,0.7818,0.1604,-0.572,0.1897,112.9,302.18,299.69,312.83
42,0.8039,0.1141,-0.5658,0.1438,122.51,313.95,311.47,315.18
43,0.8108,0.0996,-0.5651,0.1157,126.58,319.46,318.11,311.63
44,0.836,0.0739,-0.5356,0.0935,123.7,331.68,330.04,315.92
45,0.8602,0.0247,-0.507,0.0492,120.88,349.2,347.15,316.94
46,0.8688,0.0213,-0.4937,0.0319,117.85,352.37,351.49,314.27
47,0.8773,0.042,-0.4772,0.0281,113.22,349.47,350.65,315.54
48,0.8847,0.0478,-0.4632,0.0239,109.61,349.33,351.36,314.82
49,0.8782,0.0776,-0.4713,0.0246,110.97,343.65,348.15,316.97
50,0.8658,0.1577,-0.4736,0.0343,108.05,328.64,339.17,315.7
51,0.8404,0.2293,-0.4892,0.0428,106.76,314.24,330.22,316.51
52,0.8202,0.2671,-0.5048,0.0345,108.09,306.32,326.23,314.66
53,0.815,0.305,-0.4927,0.0073,105.99,303.07,328.72,313.79
54,0.8614,0.2668,-0.4311,-0.0311,98.79,318.32,344.28,314.83
55,0.8789,0.2578,-0.3993,-0.0408,92.59,322.5,348.8,314.66
56,0.8785,0.2707,-0.3912,-0.0429,90.57,321.08,348.82,314.83
57,0.8924,0.2467,-0.3759,-0.0399,87.34,325.45,350.92,316.32
58,0.9345,0.1573,-0.312,-0.0674,74.37,341.56,1.99,316.96
59,0.949,0.1061,-0.2758,-0.11,66.3,350.32,10.33,315.18
60,0.9745,0.0563,-0.1625,-0.1443,38.89,356.18,16.19,317.16
61,0.9764,0.025,-0.1486,-0.1545,34.67,359.82,17.95,317.63
62,0.9792,-0.0183,-0.1216,-0.1616,26.86,4.43,19.26,317.78
63,0.9813,-0.0443,-0.1016,-0.1572,21.38,6.95,18.85,317.94
64,0.9845,-0.0364,-0.0803,-0.1516,16.91,5.56,17.92,318.39
65,0.9741,-0.1592,-0.0445,-0.1544,4.31,18.91,18.37,319.45
